length,error_rate,strategy,samples,mean_share,standard_error,ci95_low,ci95_high,first30_mean_share
2,0.025,Grudger,1000,0.005694444444444444,0.0020691225557870575,0.001638964235101811,0.009749924653787077,0.0
2,0.05,Random,1000,0.0,0.0,0,0.0,0.0
2,0.05,Cooperator,1000,0.0,0.0,0,0.0,0.0
2,0.05,Cheater,1000,0.4170000000000002,0.0038376528544519463,0.4094782004052744,0.424521799594726,0.3833333333333334
2,0.05,Copycat,1000,0.009666666666666665,0.002768432729060058,0.004240538517708952,0.015092794815624378,0.062037037037037036
2,0.05,Copykitten,1000,0.0017777777777777776,0.0008699744944842627,7.262776858862289e-05,0.0034829277869669324,0.01388888888888889
2,0.05,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
2,0.05,NegtiveCopycat,1000,0.2049444444444451,0.0025451951087487033,0.19995586203129764,0.20993302685759255,0.20277777777777783
2,0.05,NegtiveCopykitten,1000,0.3620277777777778,0.003702234338994397,0.35477139847334876,0.3692841570822068,0.31388888888888894
2,0.05,Grudger,1000,0.004583333333333333,0.0017733997417883531,0.0011074698394281613,0.008059196827238505,0.024074074074074074
2,0.075,Random,1000,0.0,0.0,0,0.0,0.0
2,0.075,Cooperator,1000,0.0,0.0,0,0.0,0.0
2,0.075,Cheater,1000,0.4170277777777784,0.003796472382937381,0.40958669190722113,0.42446886364833564,0.437037037037037
2,0.075,Copycat,1000,0.0062499999999999995,0.002304594555116115,0.0017329946719724142,0.010767005328027584,0.0
2,0.075,Copykitten,1000,0.0009722222222222222,0.0005880911940227083,0,0.0021248809625067306,0.0
2,0.075,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
2,0.075,NegtiveCopycat,1000,0.21216666666666686,0.002613150179860397,0.2070448923141405,0.21728844101919323,0.2138888888888889
2,0.075,NegtiveCopykitten,1000,0.3578333333333333,0.003627008290555319,0.35072439708384484,0.3649422695828217,0.34907407407407404
2,0.075,Grudger,1000,0.00575,0.002289762836448465,0.0012620648405610082,0.010237935159438992,0.0
2,0.1,Random,1000,0.0,0.0,0,0.0,0.0
2,0.1,Cooperator,1000,0.0,0.0,0,0.0,0.0
2,0.1,Cheater,1000,0.41594444444444406,0.0037285747348690945,0.40863643796410065,0.42325245092478747,0.40925925925925927
2,0.1,Copycat,1000,0.0023888888888888887,0.0014654949516224823,0,0.0052612589940689534,0.0
2,0.1,Copykitten,1000,0.0009166666666666668,0.0006505336481387405,0,0.002191712617018598,0.0
2,0.1,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
2,0.1,NegtiveCopycat,1000,0.21766666666666698,0.0026880606605058253,0.21239806777207557,0.2229352655612584,0.21481481481481485
2,0.1,NegtiveCopykitten,1000,0.36047222222222214,0.003633858331992901,0.35334985989151607,0.3675945845529282,0.37592592592592594
2,0.1,Grudger,1000,0.0026111111111111114,0.0015391581779614675,0,0.005627861139915587,0.0
2,0.125,Random,1000,0.0,0.0,0,0.0,0.0
2,0.125,Cooperator,1000,0.0,0.0,0,0.0,0.0
2,0.125,Cheater,1000,0.41666666666666663,0.0036075695097453403,0.40959583042756575,0.4237375029057675,0.4509259259259259
2,0.125,Copycat,1000,0.0011666666666666668,0.0010136291781403383,0,0.00315337985582173,0.0
2,0.125,Copykitten,1000,0.0004444444444444444,0.0004444444444444417,0,0.00131555555555555,0.0
2,0.125,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
2,0.125,NegtiveCopycat,1000,0.21625000000000055,0.0024976624658071245,0.21135458156701858,0.22114541843298252,0.21203703703703705
2,0.125,NegtiveCopykitten,1000,0.3636388888888894,0.003455872305641375,0.3568653791698323,0.3704123986079465,0.33703703703703713
2,0.125,Grudger,1000,0.0018333333333333335,0.001301067296277471,0,0.004383425234037177,0.0
2,0.15,Random,1000,0.0,0.0,0,0.0,0.0
2,0.15,Cooperator,1000,0.0,0.0,0,0.0,0.0
2,0.15,Cheater,1000,0.4090833333333332,0.003710420065537296,0.40181091000488006,0.4163557566617863,0.412962962962963
2,0.15,Copycat,1000,0.0011666666666666668,0.001013629178140345,0,0.003153379855821743,0.0
2,0.15,Copykitten,1000,0.0001111111111111111,0.0001111111111111109,0,0.00032888888888888844,0.0
2,0.15,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
2,0.15,NegtiveCopycat,1000,0.2229444444444447,0.0025645746416267843,0.2179178781468562,0.2279710107420332,0.22592592592592592
2,0.15,NegtiveCopykitten,1000,0.36497222222222214,0.00349155489948389,0.3581287746192337,0.3718156698252106,0.3611111111111111
2,0.15,Grudger,1000,0.0017222222222222224,0.001232947301362404,0,0.004138798932892534,0.0
2,0.175,Random,1000,0.0,0.0,0,0.0,0.0
2,0.175,Cooperator,1000,0.0,0.0,0,0.0,0.0
2,0.175,Cheater,1000,0.4051111111111117,0.0034498577945697028,0.39834938983375506,0.41187283238846834,0.4425925925925926
2,0.175,Copycat,1000,0.0,0.0,0,0.0,0.0
2,0.175,Copykitten,1000,0.0,0.0,0,0.0,0.0
2,0.175,Copy3kitten,1000,0.0,0.0,0,0.0,0.0
2,0.175,NegtiveCopycat,1000,0.22866666666666666,0.0023582308221705836,0.2240445342552123,0.233288799078121,0.21111111111111117
2,0.175,NegtiveCopykitten,1000,0.36622222222222306,0.0034443906267658977,0.3594712165937619,0.3729732278506842,0.3462962962962963
2,0.175,Grudger,1000,0.0,0.0,0,0.0,0.0
2,0.2,Random,1000,0.0,0.0,0,0.0,0.0
2,0.2,Cooperator,1000,0.0,0.0,0,0.0,0.0
2,0.2,Cheater,1000,0.40436111111111145,0.003485917380573114,0.39752871304518816,0.41119350917703473,0.3777777777777779
2,0.2,Copycat,1000,0.0006666666666666666,0.000666666666666685,0,0.001973333333333369,0.02222222222222222
2,0.2,Copykitten,1000,0.0,0.0,0,0.0,0.0
